event_date,shift_start,shift_end,client_name,venue_name,position_id,additional_title,position_description
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,105,,Dishwasher
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 5,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant # 1,Cashier
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 4,Cashier
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 1,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant # 2,Cashier
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 5,Cashier
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Grab and go # 1,Cashier
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 16,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 3,Cashier
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Malibu Beach Inn,Malibu Beach Inn - BOH,105,,Dishwasher
2026-03-01,2026-03-01 07:00:00,2026-03-01 14:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,105,Ongoing Sat and Sun,Dishwasher
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,NFL LA Huddle Cafe,NFL LA Huddle Cafe,105,,Dishwasher
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,Union Station Homeless Services,Union Station Homeless Services - Adult Center,102,,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,University Village Thousand Oaks,University Village Thousand Oaks ,102,,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,VH Property Corp. dba Trump National Golf Club Los Angeles,Trump National Golf Course Los Angeles | BOH,102,,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,West Angeles Church of God in Christ Inc,West Angeles Church of God,102,,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 16:30:00,1 Hotel Seattle,1 Hotel Seattle,105,,Dishwasher
2026-03-01,2026-03-01 08:00:00,2026-03-01 16:00:00,Hotel Bel Air,Hotel Bel Air - Main Kitchen,102,,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Garnish #1 ,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Burrito 1,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Prep,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Plancha # 1 ,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Burrito 2 ,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Tortilla # 1 ,Cook 2
2026-03-01,2026-03-01 08:00:00,2026-03-01 14:00:00,West Angeles Church of God in Christ Inc,West Angeles Church of God,115,,Server 2
2026-03-01,2026-03-01 08:30:00,2026-03-01 15:00:00,West Angeles Church of God in Christ Inc,West Angeles Church of God,115,,Server 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 17,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 12,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 2,Cashier
2026-03-01,2026-03-01 09:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,,Cashier
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 8,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier #2 ,Cashier
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 13,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 2,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Nacho AM,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 9,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 1,Cashier
2026-03-01,2026-03-01 09:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,98,Bar AM,Bartender 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 4,Cook 2
2026-03-01,2026-03-01 09:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier #1 ,Cashier
2026-03-01,2026-03-01 09:00:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 10,Cook 2
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier #8,Cashier
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant # 4,Cashier
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 6,Cashier
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Grab and go # 2,Cashier
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant # 3,Cashier
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 7,Cashier
2026-03-01,2026-03-01 10:00:00,2026-03-01 18:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,102,,Cook 2
2026-03-01,2026-03-01 10:00:00,2026-03-01 20:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,102,,Cook 2
2026-03-01,2026-03-01 10:00:00,2026-03-01 18:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,102,Sushi,Cook 2
2026-03-01,2026-03-01 10:00:00,2026-03-01 18:30:00,The Getty Center,The Getty Center - Catering,102,,Cook 2
2026-03-01,2026-03-01 10:30:00,2026-03-01 19:00:00,Mount Saint Mary's University,Mount Saint Mary's University - Doheny Campus,102,,Cook 2
2026-03-01,2026-03-01 10:30:00,2026-03-01 16:30:00,VH Property Corp. dba Trump National Golf Club Los Angeles,Trump National Golf Course Los Angeles | Vista Grill,102,,Cook 2
2026-03-01,2026-03-01 11:00:00,2026-03-01 16:00:00,Academy Museum of Motion Pictures,Academy Museum of Motion Pictures - Fanny's Restaurant,105,,Dishwasher
2026-03-01,2026-03-01 11:00:00,2026-03-01 20:00:00,"Bruce's Gourmet Catering, Inc. ","Bruce's Gourmet Catering, Inc",98,,Bartender 2
2026-03-01,2026-03-01 11:00:00,2026-03-01 17:00:00,Griffin Club Los Angeles,Griffin Club Los Angeles,102,,Cook 2
2026-03-01,2026-03-01 11:00:00,2026-03-01 15:30:00,SBLP Warner Center OPCO LLC - The Variel,The Variel of Woodland Hills,102,,Cook 2
2026-03-01,2026-03-01 11:00:00,2026-03-01 19:30:00,The Vered,The Vered,102,TB and LIVE SCAN REQUIRED,Cook 2
2026-03-01,2026-03-01 11:00:00,2026-03-01 15:00:00,West Angeles Church of God in Christ Inc,West Angeles Church of God,105,,Dishwasher
2026-03-01,2026-03-01 11:30:00,2026-03-01 19:30:00,"Bruce's Gourmet Catering, Inc. ","Bruce's Gourmet Catering, Inc",115,,Server 2
2026-03-01,2026-03-01 11:30:00,2026-03-01 20:00:00,"Bruce's Gourmet Catering, Inc. ","Bruce's Gourmet Catering, Inc",115,,Server 2
2026-03-01,2026-03-01 11:30:00,2026-03-01 20:00:00,People Assisting the Homeless,People Assisting the Homeless - YWCA,110,,Prep Cook 2
2026-03-01,2026-03-01 11:30:00,2026-03-01 15:00:00,People Assisting the Homeless,People Assisting the Homeless - YWCA,110,,Prep Cook 2
2026-03-01,2026-03-01 12:00:00,2026-03-01 20:30:00,Childrens Hospital Los Angeles,Childrens Hospital Los Angeles,104,Food Service Worker,General
2026-03-01,2026-03-01 12:00:00,2026-03-01 20:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,273,,Sous Chef 2
2026-03-01,2026-03-01 12:00:00,2026-03-01 20:30:00,PIH Health - Whittier Hospital,PIH Health - Whittier Hospital,110,,Prep Cook 2
2026-03-01,2026-03-01 12:00:00,2026-03-01 20:30:00,Riviera Country Club,Riviera Country Club - Kitchen,102,,Cook 2
2026-03-01,2026-03-01 12:00:00,2026-03-01 20:30:00,Walnut Village,Walnut Village,105,,Dishwasher
2026-03-01,2026-03-01 13:00:00,2026-03-01 21:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,105,,Dishwasher
2026-03-01,2026-03-01 13:00:00,2026-03-01 21:30:00,Shady Canyon Golf Club,Shady Canyon Golf Club,102,,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Commerce Casino,Commerce Casino - Employee Dining Room,102,,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,112,with Cashier Duties,Runner
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:00:00,Hotel Bel Air,Hotel Bel Air - Swan Cafe,102,,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Tortilla #1 ,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Garnish #1 ,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Burrito 1 ,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Plancha #1 ,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,102,,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,102,,Cook 2
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Riviera Country Club,Riviera Country Club - Kitchen,105,,Dishwasher
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,SBLP Warner Center OPCO LLC - The Variel,The Variel of Woodland Hills,105,,Dishwasher
2026-03-01,2026-03-01 14:30:00,2026-03-01 22:30:00,Viceroy Santa Monica Hotel,Viceroy Santa Monica Hotel,264,,Event Supervisor
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Comedy and Magic Club,Comedy and Magic Club,105,,Dishwasher
2026-03-01,2026-03-01 15:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Burrito 2 ,Cook 2
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,98,Bar PM,Bartender 2
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 1 ,Cashier
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier #2,Cashier
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier #2 ,Cashier
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Nacho PM,Cook 2
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 1 ,Cashier
2026-03-01,2026-03-01 15:30:00,2026-03-02 00:00:00,"Bruce's Gourmet Catering, Inc. ","Bruce's Gourmet Catering, Inc",115,,Server 2
2026-03-01,2026-03-01 15:30:00,2026-03-01 22:30:00,Malibu Beach Inn,Malibu Beach Inn - BOH,105,,Dishwasher
2026-03-01,2026-03-01 15:30:00,2026-03-01 21:30:00,Riviera Country Club,Riviera Country Club - Kitchen,105,,Dishwasher
2026-03-01,2026-03-01 15:30:00,2026-03-02 00:00:00,VH Property Corp. dba Trump National Golf Club Los Angeles,Trump National Golf Course Los Angeles | BOH,102,,Cook 2
2026-03-01,2026-03-01 16:00:00,2026-03-01 23:30:00,"Bruce's Gourmet Catering, Inc. ","Bruce's Gourmet Catering, Inc",110,,Prep Cook 2
2026-03-01,2026-03-01 16:00:00,2026-03-01 23:00:00,Canyon Palm Springs Hotel dba Thompson Palm Springs,Thompson Palm Springs |  FOH,99,,Busser
2026-03-01,2026-03-01 16:00:00,2026-03-01 22:00:00,Griffin Club Los Angeles,Griffin Club Los Angeles,105,,Dishwasher
2026-03-01,2026-03-01 17:00:00,2026-03-02 02:00:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,102,ALL BLACK UNIFORM - CHEF PANTS MUST BE BLACK,Cook 2
2026-03-01,2026-03-01 17:00:00,2026-03-02 02:00:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,102,,Cook 2
2026-03-01,2026-03-01 17:00:00,2026-03-02 01:30:00,Pepperdine University,Pepperdine University - HAWC Cafe & Store,102,,Cook 2
2026-03-01,2026-03-01 18:00:00,2026-03-02 02:30:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,99,BLACK LONG SLEEVE BUTTON DOWN NEEDED,Busser
2026-03-01,2026-03-01 18:00:00,2026-03-02 02:30:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,115,,Server 2
2026-03-01,2026-03-01 18:00:00,2026-03-02 01:30:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,104,Scullery | BLACK LONG SLEEVE SHIRT NEEDED,General
2026-03-01,2026-03-01 18:00:00,2026-03-02 02:30:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,115,Scullery | BLACK LONG SLEEVE SHIRT NEEDED,Server 2
2026-03-01,2026-03-01 18:00:00,2026-03-02 02:30:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,115,BLACK LONG SLEEVE BUTTON DOWN NEEDED,Server 2
2026-03-01,2026-03-01 19:00:00,2026-03-02 01:30:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,104,Shoe Valet  | BLACK LONG SLEEVE SHIRT,General
2026-03-01,2026-03-01 22:00:00,2026-03-02 06:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,112,with Cashier Duties,Runner
2026-03-01,2026-03-01 22:00:00,2026-03-02 06:30:00,Commerce Casino,Commerce Casino - Employee Dining Room,102,Overnight Shift,Cook 2
2026-03-01,2026-03-01 22:00:00,2026-03-02 06:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,112,with Cashier Duties | Overnight Shift,Runner
2026-03-02,2026-03-02 05:00:00,2026-03-02 13:30:00,Google Spruce Goose Offices,Google Spruce Goose - Catering Operations,102,,Cook 2
2026-03-02,2026-03-02 05:00:00,2026-03-02 13:30:00,PIH Health - Good Samaritan Hospital,PIH Health - Good Samaritan Hospital,290,,Cook 3
2026-03-02,2026-03-02 05:00:00,2026-03-02 13:30:00,PIH Health - Whittier Hospital,PIH Health - Whittier Hospital,102,,Cook 2
2026-03-02,2026-03-02 05:00:00,2026-03-02 13:30:00,PIH Health - Whittier Hospital,PIH Health - Whittier Hospital,110,,Prep Cook 2
2026-03-02,2026-03-02 05:30:00,2026-03-02 11:00:00,Empowered 4 Life Foundation,@ Empowered 4 Life Foundation,110,,Prep Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Amgen Thousand Oaks,Amgen Thousand Oaks - Terrace Cafe,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 13:30:00,Beverly Hills Unified School District,BHUSD - Beverly Hills High School,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 13:30:00,Beverly Hills Unified School District,BHUSD - Beverly Hills High School,110,,Prep Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:00:00,Beverly Hills Unified School District,BHUSD - Beverly Hills High School,104,receiver/dish,General
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Capital Group - Irvine,Capital Group - Irvine | FOH,101,,Cashier
2026-03-02,2026-03-02 06:00:00,2026-03-02 12:00:00,Crescent Heights Ten Thousand,Crescent Heights Ten Thousand - Buffet,115,,Server 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Edwards Lifesciences,Edwards Lifesciences FOH Bldg. C,101,,Cashier
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Edwards Lifesciences,Edwards Lifesciences FOH Bldg. C,101,,Cashier
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,"Fox Studio Lot, LLC",Fox Studio - Commissary,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 15:00:00,"Fox Studio Lot, LLC",Fox Studio - News Cafe BoH,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 15:00:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Park Place Plaza,Park Place Plaza,110,,Prep Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Riviera Country Club,Riviera Country Club - Kitchen,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 12:00:00,SBLP Warner Center OPCO LLC - The Variel,The Variel of Woodland Hills,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,USC Verdugo Hills Hospital,USC Verdugo Hills Hospital,102,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,VEA Hotel - Newport Beach,VEA Hotel - Newport Beach | Cooks,102,,Cook 2
2026-03-02,2026-03-02 06:30:00,2026-03-02 14:30:00,Amgen Thousand Oaks,Amgen Thousand Oaks - Bistro Cafe,102,,Cook 2
2026-03-02,2026-03-02 06:30:00,2026-03-02 15:00:00,Park Place Plaza,Park Place Plaza,115,with Barista Duties,Server 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Beverly Hills Hotel,Beverly Hills Hotel - Main Kitchen,102,,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 13:30:00,Beverly Hills Unified School District,BHUSD- El Rodeo Elementary,104,,General
2026-03-02,2026-03-02 07:00:00,2026-03-02 13:30:00,Beverly Hills Unified School District,BHUSD - Horace Mann Elementary School,104,,General
2026-03-02,2026-03-02 07:00:00,2026-03-02 12:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Grab and go  # 3,Cashier
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant # 5,Cashier
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 1,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier #1 ,Cashier
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 16,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant # 6,Cashier
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 2,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant # 3,Cashier
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier # 2,Cashier
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Kitchen Cook # 10,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,FSA Attendant #4,Cashier
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,102,On going assignment,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,"Platinum Equity, LLC",Platinum Equity LLC,102,,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Riviera Country Club,Riviera Country Club - Kitchen,105,,Dishwasher
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,The Meadowglade LLC,The Meadowglade,102,On going/ read description,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 10:00:00,The Vered,The Vered,102,Testing Live Scan and TB - ,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Union Station Homeless Services,Union Station Homeless Services - Adult Center,102,,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:00:00,Viceroy Santa Monica Hotel,Viceroy Santa Monica Hotel,105,Steward,Dishwasher
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Warner Brothers,Warner Brothers,102,BRING KITCHEN KNIVES AND WEAR PROPER/SAFE KITCHEN SHOES. ,Cook 2
2026-03-02,2026-03-02 07:00:00,2026-03-02 15:30:00,Warner Brothers,Warner Brothers,105,Please wear black pants and proper kitchen shoes. We'll provide kitchen coat and apron. ,Dishwasher
2026-03-02,2026-03-02 07:30:00,2026-03-02 15:30:00,Amgen Thousand Oaks,Amgen Thousand Oaks - Bistro Cafe,105,,Dishwasher
2026-03-02,2026-03-02 07:30:00,2026-03-02 14:00:00,Beverly Hills Unified School District,BHUSD - Beverly Hills High School,105,,Dishwasher
2026-03-02,2026-03-02 07:30:00,2026-03-02 16:00:00,Hotel Bel Air,Hotel Bel Air - Stewards,105,,Dishwasher
2026-03-02,2026-03-02 07:30:00,2026-03-02 16:00:00,Mount Saint Mary's University,Mount Saint Mary's University - Doheny Campus,110,,Prep Cook 2
2026-03-02,2026-03-02 07:30:00,2026-03-02 15:30:00,NFL LA Huddle Cafe,NFL LA Huddle Cafe,105,,Dishwasher
